#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
ABELL_2744                 00:14:19.532       -30:23:30.09   0.3080     9.61   295.14   438.44   8.91e+45  -1.00e+00     UK   8.49e+40     NF     Y     Y     N       Y
ABELL_2813                 00:43:24.881       -20:37:25.08   0.2924     8.96   216.29   267.63   1.40e+45  -1.00e+00     UK   5.97e+40     NF     ?     ?     ?       ?
ABELL_3084                 03:04:03.920       -36:56:27.17   0.0977     5.30    96.74    96.74   5.90e+43  -1.00e+00     UK   5.25e+39     NF     ?     ?     ?       ?
ABELL_3088                 03:07:01.734       -28:39:55.47   0.2534     6.71    32.73    82.78   3.89e+45  -1.00e+00     UK   4.29e+40     NF     ?     ?     ?       ?
ABELL_3112                 03:17:57.681       -44:14:17.16   0.0720     5.17     8.19    11.40   3.28e+44   3.36e+40      F   1.19e+42      F     Y     Y     N       Y
ABELL_3120                 03:21:56.464       -51:19:35.40   0.0690     4.40    14.98    17.29   1.90e+43  -1.00e+00     UK   2.71e+40      F     ?     ?     ?       ?
ABELL_3158                 03:42:54.675       -53:37:24.36   0.0580     4.94   166.01   166.01   3.45e+44   2.89e+38     NF   2.37e+39     NF     N     Y     N       Y
ABELL_3158                 03:42:54.683       -53:37:24.37   0.0580     4.94   166.01   166.01   3.01e+44   2.89e+38     NF   2.37e+39     NF     N     Y     N       Y
ABELL_3266                 04:31:13.304       -61:27:12.59   0.0590     9.07    63.74    72.45   2.77e+44   2.25e+38     NF   2.46e+39     NF     N     Y     N       Y
ABELL_3364                 05:47:37.698       -31:52:23.61   0.1483     7.88   268.55   268.55   6.22e+44  -1.00e+00     UK   7.87e+40      F     ?     ?     ?       ?
ABELL_3376                 06:02:11.756       -39:56:59.07   0.0456     4.08   282.95   282.95   7.50e+43  -1.00e+00     UK   1.34e+39     NF     N     N     N    NONE
ABELL_3376                 06:02:11.754       -39:56:59.12   0.0456     4.08   282.95   282.95   7.50e+43  -1.00e+00     UK   1.34e+39     NF     N     N     N    NONE
ABELL_3391                 06:26:21.511       -53:41:44.81   0.0560     6.07   367.52   367.52   1.44e+44  -1.00e+00     UK   2.21e+39     NF     N     Y     N       Y
ABELL_3395                 06:26:48.463       -54:32:59.21   0.0510     5.13   213.35   247.20   5.75e+44  -1.00e+00     UK   1.82e+39     NF     N     N     N    NONE
ABELL_3528S                12:54:40.897       -29:13:38.10   0.0530     5.44    19.44    31.56   8.40e+43  -1.00e+00     UK   6.10e+41      F     ?     ?     ?       ?
ABELL_3558                 13:27:56.854       -31:29:43.78   0.0480     6.60   126.15   126.15   1.62e+44  -1.00e+00     UK   2.38e+39      F     N     N     N    NONE
ABELL_3562                 13:33:37.800       -31:40:12.04   0.0490     4.59    71.39    77.42   1.11e+44  -1.00e+00     UK   1.55e+39     NF     N     N     N    NONE
ABELL_3571                 13:47:28.434       -32:51:52.45   0.0391     7.77    61.07    70.98   1.25e+44  -1.00e+00     UK   9.74e+38     NF     N     N     N    NONE
ABELL_3581                 14:07:29.777       -27:01:05.88   0.0218     2.10     7.11     9.51   1.23e+44   2.13e+41      F   6.04e+40      F     N     N     N    NONE
ABELL_3667                 20:12:41.231       -56:50:35.70   0.0556     6.51   149.27   160.43   4.25e+44  -1.00e+00     UK   2.26e+39     NF     N     N     N    NONE
ABELL_3667                 20:12:41.238       -56:50:36.15   0.0556     6.72   149.27   160.43   2.69e+45  -1.00e+00     UK   2.26e+39     NF     N     N     N    NONE
ABELL_3667                 20:12:41.234       -56:50:35.78   0.0556     6.72   149.27   160.43   2.69e+45  -1.00e+00     UK   2.26e+39     NF     N     N     N    NONE
ABELL_3667                 20:12:41.240       -56:50:35.70   0.0556     6.72   149.27   160.43   2.69e+45  -1.00e+00     UK   2.26e+39     NF     N     N     N    NONE
ABELL_3822                 21:54:04.203       -57:52:02.71   0.0759     4.89   108.66   108.66   2.65e+44  -1.00e+00     UK   4.17e+39     NF     ?     ?     ?       ?
ABELL_3827                 22:01:53.200       -59:56:43.04   0.0984     8.05   144.65   164.58  -1.00e+00  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
