# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2259                  3245   0.02   2.11  3.70  0.00  0.00  5.49  4.58  6.78  0.32  0.16  0.49   4.91e-03   4.42e-03   5.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.165   90.9   0.92     61
ABELL_2261                  5007   0.02   2.04  3.31  0.00  0.00  9.84  8.54 11.78  0.40  0.28  0.51   6.98e-03   6.70e-03   7.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.263   94.1   0.95    189
ABELL_2294                  3246   0.02   2.36  6.10  0.00  0.00 12.33  9.28 18.05  0.63  0.34  0.99   5.15e-03   4.79e-03   5.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.223   88.6   1.08     80
ABELL_2384                  4202   0.04   2.96  2.99  0.00  0.00  6.78  5.89  7.91  0.08  0.00  0.18   4.33e-03   4.10e-03   4.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.168   86.9   0.88    170
ABELL_2390                  4193   0.02   2.20  6.71  0.00  0.00 10.53 10.00 11.15  0.36  0.32  0.41   1.24e-02   1.23e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.505   81.3   1.03    329
ABELL_2409                  3247   0.02   2.42  6.72  0.00  0.00  5.87  5.11  6.82  0.38  0.25  0.51   7.81e-03   7.29e-03   8.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.274   92.7   0.76     92
ABELL_2537                  4962   0.02   1.49  4.26  0.00  0.00  7.83  6.67  9.37  0.38  0.25  0.52   2.54e-03   2.37e-03   2.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.091   59.8   0.83    118
ABELL_2554                  1696   0.04   3.36  2.04  0.00  0.00  6.46  5.22  8.39  0.32  0.13  0.53   3.38e-03   3.08e-03   3.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.146   40.6   0.79    134
ABELL_2556                  2226   0.05   3.35  2.02  0.00  0.00  4.07  3.61  4.63  0.40  0.26  0.56   5.93e-03   5.51e-03   6.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.223   58.1   0.95    161
ABELL_2631                  3248   0.29   1.83  3.74  0.00  0.00  9.18  7.22 12.35  0.39  0.15  0.66   3.31e-03   3.05e-03   3.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.167   89.0   0.99     54
ABELL_2667                  2214   0.02   1.82  1.64  0.00  0.00  7.35  6.30  8.62  0.45  0.32  0.60   7.99e-03   7.47e-03   8.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.316   84.9   0.95     98
ABELL_2670                  4959   0.06   3.68  2.88  0.00  0.00  4.75  4.34  5.25  0.29  0.19  0.38   5.87e-03   5.58e-03   6.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.216   80.5   1.09    231
ABELL_2717                  6974   1.30   3.87  1.12  0.00  0.00  3.18  2.74  3.77  0.56  0.23  1.01   2.56e-03   2.19e-03   2.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.096   67.0   0.95    103
ABELL_2744                  2212   0.02   1.82  1.82  0.00  0.00 11.21  9.40 13.97  0.30  0.16  0.45   4.88e-03   4.64e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.176   74.7   0.73    141
ABELL_3128                   893   1.01   4.41  1.59  0.00  0.00  3.48  2.94  4.21  0.34  0.06  0.68   2.96e-03   2.58e-03   3.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.104   64.8   1.13    105
