#Cluster                   Sequence Instr     nh20    Tx   Tlo   Thi    Fe  Felo  Fehi       z     fx       Lbol  chisq    dof
ABELL_3444                 Combined G2G3S0S1  5.49  6.81  6.44  7.21  0.26  0.20  0.32  0.2533   5.76e-12  45.85   1.08    726
ABELL_3528                 84057000 G2G3S0S1  6.16  4.80  4.55  5.06  0.40  0.31  0.50  0.0547   8.41e-12  44.57   0.99    635
ABELL_3528                 84057000 G2G3S0S1  6.09  4.94  4.75  5.14  0.34  0.27  0.40  0.0547   1.15e-11  44.71   1.00    816
ABELL_3530                 86015000 G2G3S0S1  5.77  4.17  3.92  4.43  0.30  0.18  0.42  0.0537   5.07e-12  44.30   1.02    460
ABELL_3532                 Combined G2G3S0S1  5.91  4.64  4.52  4.76  0.32  0.28  0.37  0.0554   1.31e-11  44.76   1.02   1200
ABELL_3556                 83046000 G2G3S0S1  4.07  3.35  3.09  3.65  0.36  0.17  0.57  0.0479   1.62e-12  43.66   1.09    357
ABELL_3558                 Combined G2G3S0S1  3.88  5.51  5.41  5.60  0.33  0.30  0.36  0.0480   4.51e-11  45.21   1.09   1702
ABELL_3562                 84041000 G2G3S0S1  3.85  4.74  4.57  4.92  0.44  0.37  0.52  0.0490   1.41e-11  44.69   1.04    842
ABELL_3565                 61006000 G2S0S1    4.10  1.16  1.07  1.27  0.15  0.11  0.22  0.0123   2.14e-12  42.48   1.92    178
ABELL_3570                 84074000 G2G3S0S1  4.40  2.56  2.40  2.72  0.43  0.28  0.60  0.0366   3.75e-12  43.74   0.99    418
ABELL_3571                 82047000 G2G3S0S1  3.70  6.97  6.85  7.10  0.36  0.33  0.39  0.0391   7.89e-11  45.33   0.99   1933
ABELL_3581                 81019000 G2S0S1    4.53  1.70  1.66  1.75  0.31  0.27  0.36  0.0230   2.39e-11  44.09   1.19    618
ABELL_3602                 74044000 G2G3      8.38  4.17  3.87  4.52  0.44  0.27  0.62  0.1044   3.50e-12  44.73   0.95    220
ABELL_3627                 84005000 G2G3S0S1 20.40  5.83  5.75  5.91  0.28  0.26  0.30  0.0157   9.68e-11  44.57   1.32   2016
ABELL_3667                 83054000 G2G3S0S1  4.72  6.72  6.53  6.91  0.29  0.25  0.33  0.0556   4.98e-11  45.43   0.96   1407
ABELL_3921                 Combined G2G3S0S1  2.95  5.07  4.92  5.24  0.36  0.30  0.40  0.0936   1.16e-11  45.19   1.29   1253
ABELL_3934                 Combined G2G3S0S1  1.24  5.73  5.34  6.17  0.35  0.26  0.44  0.2241   2.33e-12  45.31   1.19    466
ABELL_4038                 83004000 G2G3S0S1  1.56  3.06  3.03  3.10  0.43  0.40  0.46  0.0300   3.68e-11  44.59   1.10   1597
ABELL_4059                 82030000 G2G3S0S1  1.10  3.92  3.86  3.99  0.53  0.49  0.57  0.0475   2.26e-11  44.83   0.97   1401
ABELL_4067                 Combined G2G3S0S1  2.12  3.56  3.46  3.68  0.48  0.42  0.56  0.0989   3.76e-12  44.68   1.29    885
ABELL_S0506                83017000 G2G3S0S1  2.56  9.46  6.68 12.63  0.40  0.01  0.80  0.3220   4.27e-13  45.02   1.01    154
ABELL_S0520                86036000 G2G3S0S1  6.82  6.94  6.21  7.88  0.22  0.09  0.36  0.2824   2.37e-12  45.57   0.97    309
ABELL_S0636                Combined G2G3S0S1  6.54  2.13  2.09  2.16  0.41  0.37  0.46  0.0087   1.70e-11  43.12   1.26   1220
ABELL_S0753                65018000 G2G3S0S1  5.46  2.37  2.24  2.51  0.36  0.24  0.52  0.0142   7.17e-12  43.18   1.05    358
ABELL_S1077                83019010 G2G3S0S1  1.30  8.59  7.79  9.51  0.14  0.03  0.25  0.3130   2.08e-12  45.65   1.22    508
ABELL_S1111                72042000 G2G3S0S1  1.98  2.64  2.29  2.94  0.18  0.02  0.40  0.0450   1.53e-12  43.55   0.96    147
AWM_04                     83072000 G2G3S0S1  5.00  2.48  2.42  2.55  0.56  0.49  0.65  0.0328   7.13e-12  43.92   1.01    735
AWM_07                     80036000 G2G3S0S1  9.82  3.71  3.66  3.77  0.51  0.47  0.54  0.0178   1.01e-10  44.61   1.05   1552
AX_J2239-0429              83018000 G2G3S0S1  4.02  6.58  4.49 11.02  0.17  0.00  0.52  0.5565   2.28e-13  45.19   1.16    131
CENTAURUS                  Combined G2G3S0S1  8.06  3.96  3.91  4.02  0.53  0.52  0.55  0.0110   1.10e-10  44.24   1.27   1598
CID_28                     86017000 G2G3S0S1  4.11  2.24  2.13  2.35  0.49  0.37  0.62  0.0335   3.87e-12  43.66   1.11    370
CL_0016+1609               Combined G2G3S0S1  4.07  8.74  8.06  9.54  0.12  0.03  0.21  0.5465   1.47e-12  46.03   1.12    683
CL_09104+4109              71002000 G2G3S0S1  0.99  6.61  6.01  7.24  0.45  0.33  0.57  0.4420   1.41e-12  45.76   1.14    371
CL_1938.3+5409             87057000 G2G3S0S1 10.70  7.52  7.15  7.90  0.25  0.19  0.31  0.2593   5.48e-12  45.87   1.04    980
CL_2244-0221               83016000 G2G3S0S1  5.30  4.85  3.89  6.10  0.03  0.00  0.32  0.3280   4.67e-13  44.93   1.12    164
CYGNUS_A                   Combined G2G3S0S1 34.75 10.44 10.25 10.66  0.72  0.70  0.75  0.0561   5.37e-11  45.58   2.42   2287
EXSS_0657.5-5551           Combined G2G3S0S1  6.53 11.64 11.13 12.20  0.23  0.18  0.29  0.2960   7.09e-12  46.20   1.11   1451
FORNAX                     Combined G2G3S0S1  1.34  1.36  1.34  1.38  0.36  0.34  0.39  0.0050   2.06e-11  42.66   1.80    869
HCG_042                    83025000 G2G3S0S1  4.80  0.78  0.73  0.82  0.13  0.10  0.17  0.0133   1.12e-12  42.25   1.34    194
HCG_051                    82028000 G2G3S0S1  1.27  1.35  1.30  1.40  0.29  0.24  0.35  0.0258   1.77e-12  43.04   1.19    520
HCG_057                    63000000 G2G3S0S1  1.96  3.63  2.78  4.74  0.72  0.23  1.88  0.0304   1.74e-13  42.31   1.22    216
HCG_062                    Combined G2G3S0S1  3.01  1.05  1.02  1.08  0.15  0.14  0.17  0.0137   4.71e-12  42.91   1.44    630
HCG_068                    85031000 G2G3S0S1  0.98  0.78  0.69  0.86  0.09  0.06  0.15  0.0080   6.29e-13  41.58   1.20    144
HCG_094                    Combined G2G3S0S1  4.73  3.24  3.17  3.31  0.47  0.42  0.53  0.0422   1.06e-11  44.36   1.54   1042
HCG_097                    84006000 G2G3S0    3.65  1.02  0.96  1.09  0.12  0.09  0.15  0.0218   1.10e-12  42.69   1.57    314
HERCULES                   83030000 G2G3S0S1  3.43  2.33  2.26  2.40  0.45  0.37  0.54  0.0366   9.79e-12  44.15   1.13    742
HERCULES_A                 86038000 G2G3S0S1  6.40  4.15  3.90  4.42  0.45  0.35  0.56  0.1540   3.05e-12  45.02   1.06    484
HYDRA_A                    80015000 G2G3S0S1  4.94  3.54  3.48  3.61  0.35  0.32  0.38  0.0522   3.39e-11  45.07   1.14   1196
MKW_03S                    80011000 G2G3S0S1  3.03  3.41  3.35  3.46  0.44  0.40  0.47  0.0450   2.59e-11  44.81   1.03   1306
