# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2667                  2214   0.02   1.82  1.64  0.00  0.00  7.35  6.30  8.62  0.45  0.32  0.60   7.99e-03   7.47e-03   8.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.316   84.9   0.95     98
ABELL_2670                  4959   0.06   3.68  2.88  0.00  0.00  4.75  4.34  5.25  0.29  0.19  0.38   5.87e-03   5.58e-03   6.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.216   80.5   1.09    231
ABELL_2744                  2212   0.02   1.82  1.82  0.00  0.00 11.21  9.40 13.97  0.30  0.16  0.45   4.88e-03   4.64e-03   5.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.176   74.7   0.73    141
ABELL_3112                  2516   0.06   3.00  2.50  0.00  0.00  6.27  5.74  6.86  0.60  0.50  0.71   1.51e-02   1.45e-02   1.58e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.737   84.0   1.16    232
ABELL_3158                  3201   0.07   5.57  1.60  0.00  0.00  6.09  5.72  6.49  0.40  0.34  0.46   2.14e-02   2.09e-02   2.20e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  0.896   89.2   1.00    311
ABELL_3266                   899   0.07   3.80  1.72  0.00  0.00 12.29 11.00 13.96  0.30  0.20  0.41   1.53e-02   1.50e-02   1.56e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  0.657   90.7   1.05    296
ABELL_3558                  1646   0.08   3.03  3.84  0.00  0.00  7.67  6.93  8.58  0.54  0.43  0.67   1.56e-02   1.50e-02   1.62e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  0.810   84.4   1.01    217
ABELL_3562                  4167   0.08   5.41  3.90  0.00  0.00  5.63  5.14  6.20  0.30  0.21  0.39   1.26e-02   1.21e-02   1.31e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.497   83.5   0.96    250
ABELL_3571                  4203   0.11   2.17  4.66  0.00  0.00  8.98  8.41  9.61  0.49  0.42  0.57   1.71e-02   1.68e-02   1.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  0.913   92.0   1.09    301
ABELL_3667                  5751   0.07   6.11  5.45  0.00  0.00  7.64  7.43  7.86  0.35  0.32  0.38   3.26e-02   3.23e-02   3.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0556  1.289   87.9   1.05    339
