# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_2384                  4202   0.00   0.48  2.99  0.00  0.00  2.81  2.73  2.91  0.60  0.52  0.70   1.29e-03   1.24e-03   1.35e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.155   98.5 533.54    431
ABELL_2390                  4193   0.00   0.23  6.71  0.00  0.00  6.38  6.23  6.54  0.51  0.46  0.56   2.10e-03   2.08e-03   2.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  0.279   98.5 414.62    431
ABELL_2409                  3247   0.00   0.32  6.72  0.00  0.00  4.81  4.41  5.31  1.17  0.85  1.60   6.42e-04   5.83e-04   6.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.078   98.4 408.34    431
ABELL_2537                  4962   0.00   0.19  4.26  0.00  0.00  6.79  6.07  7.67  0.64  0.42  0.91   3.33e-04   3.19e-04   3.59e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.044   92.2 433.26    431
ABELL_2550                  2225   0.00   0.31  2.03  0.00  0.00  2.01  1.96  2.08  0.87  0.76  1.02   3.97e-04   3.70e-04   4.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.073   93.1 455.78    431
ABELL_2554                  1696   0.00   0.42  2.04  0.00  0.00  5.83  5.20  6.62  0.42  0.23  0.67   3.91e-04   3.68e-04   4.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.062   84.2 443.09    431
ABELL_2556                  2226   0.00   0.52  2.02  0.00  0.00  2.97  2.90  3.05  0.59  0.53  0.65   3.01e-03   2.93e-03   3.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.485   96.7 413.18    431
ABELL_2631                  3248   0.00   0.21  3.74  0.00  0.00  7.49  5.29 11.47  0.00  0.00  0.48   1.83e-04   1.61e-04   2.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2779  0.015   96.2 257.96    431
ABELL_2667                  2214   0.00   0.23  1.64  0.00  0.00  4.20  4.00  4.42  0.65  0.52  0.80   2.15e-03   2.06e-03   2.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.325   98.9 420.72    431
ABELL_2670                  4959   0.00   0.57  2.88  0.00  0.00  4.10  3.93  4.29  0.65  0.53  0.79   8.96e-04   8.61e-04   9.31e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.118   95.8 480.43    431
ABELL_2717                  6974   0.00   0.93  1.12  0.00  0.00  2.33  2.26  2.43  1.13  0.99  1.35   1.06e-03   9.84e-04   1.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.177   91.9 453.92    431
ABELL_2744                  2212   0.00   0.18  1.82  0.00  0.00 18.28 12.21 30.43  0.25  0.00  0.91   1.64e-04   1.47e-04   1.80e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.020   91.0 399.46    431
ABELL_3128                   893   0.00   0.72  1.59  0.00  0.00  3.32  3.07  3.59  0.90  0.67  1.22   4.20e-04   3.83e-04   4.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0624  0.062   87.1 434.28    431
ABELL_3158                  3201   0.74   0.74  1.60  0.00  0.00  5.85  5.64  6.06  0.66  0.57  0.76   1.33e-03   1.30e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  0.181   97.3 934.72    862
ABELL_3158                  3712   0.74   0.74  1.60  0.00  0.00  5.85  5.64  6.06  0.66  0.57  0.76   1.33e-03   1.30e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0586  0.181   97.3 934.72    862
ABELL_3164                  6955   0.00   0.79  2.55  0.00  0.00  8.27  2.78 44.08  0.00  0.00  8.25   4.87e-05   2.17e-05   5.69e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0570  0.005   37.4 292.07    431
ABELL_3376                  3202   0.97   0.97  5.21  0.00  0.00  4.34  4.05  4.63  0.16  0.06  0.26   4.52e-04   4.34e-04   4.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0456  0.053   81.7 864.78    862
ABELL_3376                  3450   0.97   0.97  5.21  0.00  0.00  4.34  4.05  4.63  0.16  0.06  0.26   4.52e-04   4.34e-04   4.70e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0456  0.053   81.7 864.78    862
ABELL_3391                  4943   0.00   0.80  5.46  0.00  0.00  6.67  6.06  7.37  0.74  0.51  1.00   8.59e-04   8.15e-04   9.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0560  0.117   90.4 452.52    431
ABELL_3921                  4973   0.00   0.50  3.07  0.00  0.00  5.85  5.46  6.32  0.51  0.36  0.68   7.94e-04   7.62e-04   8.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0927  0.097   96.2 477.46    431
AC_114                      1562   0.00   0.18  1.44  0.00  0.00  5.25  4.64  6.02  0.09  0.00  0.23   1.54e-04   1.47e-04   1.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.019   88.3 445.92    431
CL_0024+17                   929   0.00   0.16  4.36  0.00  0.00  2.36  2.08  2.84  0.37  0.20  1.04   8.97e-05   6.42e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.009   82.6 287.25    431
CL_1221+4918                1662   0.00   0.11  1.44  0.00  0.00  2.65  1.95  3.57  0.00  0.00  0.15   3.28e-05   2.66e-05   4.23e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.001   90.5 198.40    431
CL_J0030+2618               5762   0.14   0.14  4.10  0.00  0.00  1.73  1.33  2.34  0.00  0.00  0.11   8.23e-05   5.66e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.002   76.8 315.98   1293
CL_J0030+2618               1190   0.14   0.14  4.10  0.00  0.00  1.73  1.33  2.34  0.00  0.00  0.11   8.23e-05   5.66e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.002   76.8 315.98   1293
CL_J0030+2618               1226   0.14   0.14  4.10  0.00  0.00  1.73  1.33  2.34  0.00  0.00  0.11   8.23e-05   5.66e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.002   76.8 315.98   1293
CL_J0030+2618               5762   0.00   0.14  4.10  0.00  0.00  1.90  1.42  2.52  0.00  0.00  0.17   7.41e-05   5.05e-05   9.69e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.002   89.1 113.90    431
