# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_2204                   499   0.00   3.02  5.84  0.00  0.00  6.74  6.57  6.92  0.47  0.42  0.51   2.94e-02   2.90e-02   2.98e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  3.282   90.5   1.08    663
ABELL_2218                  1666   0.00   2.37  3.12  0.00  0.00  7.50  7.13  7.90  0.23  0.16  0.29   6.53e-03   6.43e-03   6.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.703   92.2   0.99    330
ABELL_2219                   896   0.00   2.31  1.76  0.00  0.00 12.66 12.07 13.31  0.29  0.22  0.37   1.26e-02   1.24e-02   1.27e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  1.869   81.5   1.00    385
ABELL_2255                   894   0.00   4.45  2.53  0.00  0.00  6.41  6.19  6.66  0.33  0.27  0.40   1.01e-02   9.95e-03   1.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  1.278   81.6   0.94    396
ABELL_2256                  1386   0.00   6.56  4.05  0.00  0.00  5.68  5.51  5.86  0.31  0.24  0.38   3.98e-02   3.91e-02   4.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0579  5.336   80.1   1.64    395
ABELL_2259                  3245   0.00   2.11  3.70  0.00  0.00  5.11  4.73  5.56  0.39  0.25  0.53   5.42e-03   5.20e-03   5.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.572   91.5   0.89    149
ABELL_2261                  5007   0.00   2.04  3.31  0.00  0.00  7.72  7.31  8.17  0.43  0.35  0.52   8.72e-03   8.55e-03   8.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.880   94.9   0.96    297
ABELL_2294                  3246   0.00   2.36  6.10  0.00  0.00 10.34  9.13 11.91  0.55  0.33  0.78   5.88e-03   5.64e-03   6.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1780  0.644   89.2   1.13    167
ABELL_2384                  4202   0.00   2.96  2.99  0.00  0.00  3.93  3.78  4.08  0.26  0.20  0.32   6.49e-03   6.33e-03   6.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.722   89.1   1.19    280
ABELL_2390                  4193   0.00   2.20  6.71  0.00  0.00  9.85  9.61 10.10  0.38  0.34  0.42   1.45e-02   1.44e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  1.878   83.4   1.07    420
ABELL_2409                  3247   0.00   2.42  6.72  0.00  0.00  5.77  5.42  6.16  0.44  0.32  0.56   8.45e-03   8.17e-03   8.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.893   93.1   1.06    188
