#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_2597                   922   0.80   0.54   1.30   1.00   1.00   1.00   3.20e-06   1.00e-06   1.09e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.593e+05   1.43e-03   0.90      5
ABELL_2626                  3192   0.75   0.62   0.93   1.00   1.00   1.00   6.36e-06   4.60e-06   9.33e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.554e+05   2.81e-03   2.88      4
ABELL_2634                  4816   0.73   0.69   0.76   1.00   1.00   1.00   2.46e-05   2.28e-05   2.66e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  7.904e+05   1.36e-02   1.89     15
ABELL_2667                  2214   0.76   0.62   1.15   1.00   1.00   1.00   1.01e-05   6.95e-06   2.79e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.738e+05   5.38e-03   0.00      1
ABELL_2670                  4959   0.19   0.17   0.21   1.00   1.00   1.00  -5.55e-05  -7.31e-05  -4.16e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.702e+05  -4.71e-03   0.92      8
ABELL_2744                  2212   1.03   0.73   1.37   1.00   1.00   1.00   6.99e-06   2.16e-06   1.43e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.441e+05   1.24e-03   1.17      3
ABELL_3112                  2516   0.80   0.70   0.93   1.00   1.00   1.00   1.72e-05   1.27e-05   2.50e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.287e+05   6.86e-03   1.73      2
ABELL_3158                  3201   0.10   0.08   0.15   1.00   1.00   1.00  -4.55e-04  -1.83e-03  -1.15e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  5.195e+05  -4.01e-03   1.16      7
ABELL_3266                   899   0.26   0.24   0.29   1.00   1.00   1.00   5.64e-05   4.66e-05   6.71e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.717e+05   9.81e-03   1.11     14
ABELL_3391                  4943   0.66   0.59   0.73   1.00   1.00   1.00   2.91e-05   2.46e-05   3.37e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.040e+05   7.01e-03   0.70      8
ABELL_3558                  1646   0.64   0.61   0.68   1.00   1.00   1.00   5.30e-05   4.98e-05   5.67e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.711e+05   4.06e-02   3.86      7
ABELL_3562                  4167   0.32   0.30   0.35   1.00   1.00   1.00   1.19e-04   1.06e-04   1.32e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.021e+05   2.54e-02   4.69     10
