#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
74	K(ESO/SPM)	185.7	12.37	milliJy	1.36E+14	1.86E-01	1.24E-02	Jy	1995ApJ453616S	rmsuncertainty	2.210microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	15"aperture	Fromnewrawdata
75	K(KPNO)	0.141	0.002	Jy	1.35E+14	1.41E-01	2.00E-03	Jy	1979ApJ234471M	uncertainty	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture	10"aperture	Fromnewrawdata
76	2.2microns	0.17	0.02	Jy	1.35E+14	1.70E-01	2.00E-02	Jy	1972ApJ176L95R	1sigma	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture	6"aperture	Fromnewrawdata
77	K(Johnson)	9.02	0.02	mag	1.35E+14	1.65E-01	3.06E-03	Jy	1976ApJ207367A	uncertainty	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
78	2.22microns	0.154	0.006	Jy	1.35E+14	1.54E-01	6.00E-03	Jy	1976PASP88870J	uncertainty	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
79	2.2microns	0.175	10%	Jy	1.35E+14	1.75E-01	1.76E-02	Jy	1978ApJ226550R	uncertainty	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture	8.5"aperture	Fromnewrawdata
80	K(KPNO)	0.160	0.002	Jy	1.35E+14	1.60E-01	2.00E-03	Jy	1979ApJ234471M	uncertainty	2.22microns	Broad-bandmeasurement		Fluxinfixedaperture	15"aperture	Fromnewrawdata
81	2.35microns	0.18		Jy	1.28E+14	1.80E-01		Jy	1976ApJ210L5R	nouncertaintyreported	2.35microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
82	3.0microns	0.23		Jy	9.99E+13	2.30E-01		Jy	1976ApJ210L5R	nouncertaintyreported	3.00microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
83	3.3microns(SUBARU)	18E-14	40%	ergs-1cm-2	9.11E+13	1.98E-04	7.90E-05	Jy	2006ApJ637114I	estimatederror	3.29microns	Linemeasurement;fluxintegratedoverline;linesmeasuredinemission		Fluxintegratedfrommap		Fromnewrawdata
