# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
ABELL_2199                           497           F      0.0300      3.6787      0.1233     83.1768      2.7879      NVSS
ABELL_2218                          1666          NF      0.1713      0.0025      0.0003      2.2422      0.2242      NVSS
ABELL_2219                           896          NF      0.2256      0.0025      0.0003      4.1540      0.4154      NVSS
ABELL_2244                          4179           F      0.0967      0.0031      0.0004      0.8027      0.1036      NVSS
ABELL_2255                           894          NF      0.0805      0.0025      0.0003      0.4385      0.0438      NVSS
ABELL_2261                          5007          NF      0.2240      0.0025      0.0003      4.6658      0.4175      NVSS
ABELL_2319                          3231          NF      0.0562      0.0025      0.0003      0.2063      0.0206      NVSS
ABELL_2384                          4202          NF      0.0945      0.0025      0.0003      0.6163      0.0616      NVSS
ABELL_2390                          4193           F      0.2301      0.2353      0.0083    408.8757     14.4227      NVSS
ABELL_2409                          3247          NF      0.1479      0.0025      0.0003      1.6222      0.1622      NVSS
ABELL_2537                          4962          NF      0.2950      0.0025      0.0003      7.6775      0.7677      NVSS
ABELL_2556                          2226          NF      0.0862      0.0025      0.0003      0.5069      0.0507      NVSS
ABELL_2597                           922           F      0.0854      1.8746      0.0562    372.6155     11.1709      NVSS
ABELL_2626                          3192           F      0.0573      0.0545      0.0024      4.6832      0.2062      NVSS
ABELL_2631                          3248          NF      0.2779      0.0025      0.0003      6.6881      0.6688      NVSS
ABELL_2634                          4816          NF      0.0314      0.0025      0.0003      0.0621      0.0062      NVSS
ABELL_2657                          4941          NF      0.0402      0.0025      0.0003      0.0752      0.0075      NVSS
ABELL_2667                          2214           F      0.2300      0.0194      0.0010     33.6777      1.7360      NVSS
ABELL_2670                          4959          NF      0.0763      0.0025      0.0003      0.5711      0.0383      NVSS
ABELL_2717                          6974          NF      0.0475      0.0025      0.0173      0.1022      0.0169      NVSS
ABELL_2744                          7915          NF      0.3080      0.0025      0.0003      8.4855      0.8486      NVSS
ABELL_2744                          8477          NF      0.3080      0.0025      0.0003      8.4855      0.8486      NVSS
ABELL_2744                          8557          NF      0.3080      0.0025      0.0003      8.4855      0.8486      NVSS
ABELL_2744                          2212          NF      0.3080      0.0025      0.0003      8.4855      0.8486      NVSS
ABELL_3112                          2516           F      0.0720      1.9150      0.0575    119.1622      3.5780     SUMSS
ABELL_3128                           893          NF      0.0624     13.4000      2.0000      0.5679      0.0848      NVSS
ABELL_3266                           899          NF      0.0590      0.0060      0.0003      0.2460      0.0123     SUMSS
ABELL_3391                          4943          NF      0.0560      0.0060      0.0003      0.2207      0.0110     SUMSS
ABELL_3558                          1646           F      0.0480      0.0040      0.0006      0.2379      0.0357      NVSS
ABELL_3562                          4167          NF      0.0490      0.0025      0.0003      0.1552      0.0155      NVSS
ABELL_3571                          4203          NF      0.0391      0.0025      0.0003      0.0974      0.0097      NVSS
ABELL_3921                          4973          NF      0.0927      0.0060      0.0003      0.6374      0.0319     SUMSS
ABELL_4038                          4992           F      0.0300      0.0275      0.0013      0.6218      0.0294      NVSS
AWM7                                 908          NF      0.0172      0.0025      0.0003      0.0182      0.0018      NVSS
CENTAURUS                           5310           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                           4190           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                           4191           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                           4954           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                           4955           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                            504           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
CENTAURUS                            505           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
COMA                                 556          NF      0.0231      0.0025      0.0003      0.0332      0.0033      NVSS
CYGNUS_A                             360           F      0.0561   1598.0001     41.0000  63660.4669   1633.3412      NVSS
ESO_5520200                         3206          NF      0.0314      0.0025      0.0003      0.0621      0.0062      NVSS
EXO_0422-086                        4183           F      0.0397      0.1124      0.0034      4.5165      0.1366      NVSS
MACS_J0035.4-2015                   3262          NF      0.3644      0.0025      0.0003     12.5798      1.2580      NVSS
MACS_J0308.9+2645                   3268          NF      0.3240      0.0025      0.0003      9.5482      0.9548      NVSS
MACS_J0520.7-1328                   3272           F      0.3398      0.0930      0.0028    397.0481     11.9541      NVSS
MACS_J1206.2-0847                   3277           F      0.4400      0.1609      0.0063   1267.2986     49.6208      NVSS
MACS_J2049.9-3217                   3283          NF      0.3254      0.0025      0.0003      9.6448      0.9645      NVSS
MACS_J2211.7-0349                   3284          NF      0.2700      0.0025      0.0003      6.2586      0.6259      NVSS
MACS_J2243.3-0935                   3260          NF      0.1010      0.0025      0.0003      0.7104      0.0710      NVSS
MKW3S                                900           F      0.0450      0.0113      0.0010      0.5881      0.0520      NVSS
MKW_04                              3234          NF      0.0198      0.0025      0.0003      0.0242      0.0024      NVSS
MS_0016.9+1609                       520          NF      0.5410      0.0025      0.0003     32.4242      3.2424      NVSS
MS_0735.6+7421                      4197           F      0.2160      0.0211      0.0014     31.7780      2.1085      NVSS
MS_0839.8+2938                      2224           F      0.1940      0.0247      0.0008     29.2238      0.9465      NVSS
MS_0906.5+1110                       924          NF      0.1630      0.0025      0.0003      2.0089      0.2009      NVSS
MS_1006.0+1202                       925          NF      0.2210      0.0025      0.0003      3.1368      0.4516      NVSS
MS_1008.1-1224                       926          NF      0.3010      0.0025      0.0003      8.0443      0.8044      NVSS
MS_1455.0+2232                      4192           F      0.2590      0.0165      0.0013     37.5465      2.9582      NVSS
MS_2137.3-2353                      4974           F      0.3130      0.0038      0.0005     13.3903      1.7619      NVSS
MS_J1157.3+5531                     4964          NF      0.0810      0.0025      0.0003      0.4443      0.0444      NVSS
OPHIUCHUS                           3200           F      0.0280      0.0288      0.0010      0.5655      0.0196      NVSS
RBS_0461                            4182           F      0.0290      0.0200      0.0010      0.3079      0.0154      NVSS
RX_J0232.2-4420                     4993          NF      0.2836      0.0100      0.0005     12.5857      0.6293     SUMSS
RX_J0528.9-3927                     4994           F      0.2632      0.0047      0.0006     11.0968      1.4166      NVSS
RX_J1504.1-0248                     5793           F      0.2150      0.0605      0.0025     90.1683      3.7260      NVSS
RX_J1720.1+2638                     4361           F      0.1640      0.0877      0.0033     71.4319      2.6879      NVSS
SERSIC_159-03                       1668           F      0.0580      0.4721      0.0142     18.6788      0.5618     SUMSS
ZWCL_1215                           4184          NF      0.0750      0.0025      0.0003      0.3776      0.0378      NVSS
ZWCL_3146                            909           F      0.2900      0.0071      0.0005     20.9582      1.4759      NVSS
ZWICKY_2701                         3195           F      0.2100      0.0145      0.0006     20.4946      0.8481      NVSS
3C_129                              2218           F      0.0223      1.8736      0.0652     18.3561      0.6388      NVSS
3C_129                              2219           F      0.0223      1.8736      0.0652     18.3561      0.6388      NVSS
ABELL_0400                          4181          NF      0.0240      0.0025      0.0003      0.0284      0.0028      NVSS
ABELL_0426                          3209           F      0.0179     22.8292      0.6849    143.1296      4.2940      NVSS
ABELL_0426                          4289           F      0.0179     22.8292      0.6849    143.1296      4.2940      NVSS
ABELL_0539                          5808          NF      0.0288      0.0025      0.0003      0.0413      0.0041      NVSS
ABELL_0539                          7209          NF      0.0288      0.0025      0.0003      0.0413      0.0041      NVSS
ABELL_0562                          6936          NF      0.1100      0.0025      0.0003      0.6770      0.0677      NVSS
ABELL_0744                          6947          NF      0.0729      0.0025      0.0003      0.2823      0.0282      NVSS
ABELL_3395                          4944          NF      0.0510      0.0060      0.0003      0.1817      0.0091     SUMSS
ABELL_3581                          1650           F      0.0218      0.6455      0.0228      6.0390      0.2133      NVSS
HCG_0062                             921           F      0.0146      0.0049      0.0005      0.0203      0.0021      NVSS
HCG_42                              3215           F      0.0133      0.0025      0.0005      0.0086      0.0017      NVSS
RX_J1022.1+3830                     6942          NF      0.0491      0.0025      0.0003      0.1237      0.0124      NVSS
SC_1327-312                         4165          NF      0.0531      0.0025      0.0003      0.1455      0.0145      NVSS
