#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
RX_J0439.0+0715                     3583          NF      0.2300      0.0025      0.0003      0.5095      0.0510
RX_J0528.9-3927                     4994           F      0.2632      0.0047      0.0006      1.3029      0.1663
RX_J0647.7+7015                     3196          NF      0.5840      0.0025      0.0003      4.5872      0.4587
RX_J0647.7+7015                     3584          NF      0.5840      0.0025      0.0003      4.5872      0.4587
RX_J0819.6+6336                     2199           F      0.1190      0.0344      0.0014      1.6329      0.0665
RX_J1347.5-1145                     3592           F      0.4510      0.0459      0.0015     45.0345      1.4717
RX_J1347.5-1145                      507           F      0.4510      0.0459      0.0015     45.0345      1.4717
RX_J1423.8+2404                     1657           F      0.5450      0.0080      0.0011     12.4024      1.7053
RX_J1423.8+2404                     4195           F      0.5450      0.0080      0.0011     12.4024      1.7053
RX_J1504.1-0248                     5793           F      0.2150      0.0605      0.0025     10.5866      0.4375
RX_J1532.9+3021                     1649           F      0.3450      0.0228      0.0008     11.8433      0.4156
RX_J1532.9+3021                     1665           F      0.3450      0.0228      0.0008     11.8433      0.4156
RX_J1720.1+2638                     4361           F      0.1640      0.0877      0.0033      8.3868      0.3156
RX_J1720.2+3536                     3280           F      0.3913      0.0180      0.0010     12.5855      0.6992
RX_J1720.2+3536                     6107           F      0.3913      0.0180      0.0010     12.5855      0.6992
RX_J1720.2+3536                     7225           F      0.3913      0.0180      0.0010     12.5855      0.6992
RX_J2011.3-5725                     4995          OA      0.2786     -0.4440     -0.5550     -0.0000     -0.0000
RX_J2129.6+0005                      552           F      0.2350      0.0254      0.0012      5.4360      0.2568
SDSS_J198.070267-00.984433          4990          NF      0.0848      0.0025      0.0003      0.4835      0.0483
S0463                               6956          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
S0463                               7250          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
SERSIC_159-03                       1668          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
TRIANG_AUSTR                        1281          OA      0.0510     -0.4440     -0.5550     -0.0000     -0.0000
ZWCL_1215                           4184          NF      0.0750      0.0025      0.0003      0.0443      0.0044
ZWCL_1358+6245                       516          NF      0.3280      0.0025      0.0003      1.1536      0.1154
ZWCL_1953                           1659           F      0.3800      0.0194      0.0012     12.6546      0.7828
ZWCL_3146                            909           F      0.2900      0.0071      0.0005      2.4607      0.1733
ZWCL_5247                            539          NF      0.2290      0.0025      0.0003      0.5045      0.0505
ZWCL_7160                            543           F      0.2578      0.0165      0.0013      4.3617      0.3436
ZWICKY_2701                         3195           F      0.2100      0.0145      0.0006      2.4063      0.0996
ZwCl_0848.5+3341                    4205          NF      0.3706      0.0025      0.0003      1.5370      0.1537
