#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
HYDRA_A                         4970_576  0.0549    1.04E-03    8.70E-04    4.54E-06      19.627       0.095       0.502       0.001    3.54E-04    0.00E+00       0.000       0.000       1.000       0.000  11046.51   51    0.00E+00
MACS_J0011.7-1523              6105_3261  0.3600    1.99E-04    1.97E-04    1.87E-05      38.993      14.884       0.997       0.489    4.24E-05    7.61E-06     137.214      13.033       0.696       0.015     51.44   36    4.59E-02
MACS_J0035.4-2015                   3262  0.3644    7.12E-05    1.00E-04   -0.00E+00       0.000      -0.000       0.613      -0.000    6.47E-05    2.22E-06     153.139       5.501       0.692       0.012     54.24   35    2.00E-02
MACS_J0159.8-0849              6106_3265  0.4050    4.55E-04    4.93E-04    1.66E-05      40.467       1.212       1.000       0.000    6.92E-05    4.37E-06     131.118       6.003       0.666       0.009     35.89   33    3.35E-01
MACS_J0257.1-2325              1654_3581  0.5053    7.78E-05    6.88E-05    2.21E-04      76.568     155.146       0.626       2.767    1.22E-05    2.17E-04     176.233     590.089       0.618       1.229     24.77   28    6.41E-01
MACS_J0308.9+2645                   3268  0.3240    6.66E-05    8.14E-05   -0.00E+00       0.000      -0.000       0.609      -0.000    5.40E-05    1.84E-06     142.294       5.123       0.636       0.009     96.18   39    9.82E-07
MACS_J0329.6-0211         6108_3582_3257  0.4500    3.92E-04    4.49E-04    1.26E-05      45.947       1.073       1.000       0.000    3.32E-05    2.99E-06     143.231       9.527       0.653       0.013     37.14   30    1.73E-01
MACS_J0520.7-1328                   3272  0.3398    8.90E-05    1.15E-04   -0.00E+00       0.000      -0.000       0.579      -0.000    7.99E-05    3.84E-06      92.501       4.158       0.627       0.010     51.57   37    5.63E-02
MACS_J0717.5+3745              4200_1655  0.5480    2.84E-05    1.41E-05    1.75E-06     114.325      13.032       1.000       0.000    1.51E-05    3.96E-07     545.311       6.067       1.000       0.000     41.35   27    3.81E-02
MACS_J0744.8+3927         3585_3197_6111  0.6860    1.40E-04    1.59E-04    1.68E-05      38.590       8.416       0.570       0.148    1.02E-05    1.20E-05     228.155     156.239       0.738       0.374     40.47   23    1.36E-02
