#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
ZWCL_1742                           8267          OA      0.0757      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0160                          3219          OA      0.0447      0.0000     -0.0010     -0.0000     -0.0000
ABELL_1446                          4975           F      0.1035      0.1677      0.0002     39.8565      0.0478
ABELL_2813                          9409          OA      0.2924      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3074                          6950          OA      0.0730      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3074                          7374          OA      0.0730      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3120                          6951          OA      0.0690      0.0000     -0.0010     -0.0000     -0.0000
M87                                 5826           F      0.0044     54.7283      0.0055     15.1715      0.0015
M87                                 5827           F      0.0044     54.7283      0.0055     15.1715      0.0015
MS_0116.3-0115                      4963           F      0.0452      0.0022      0.0002      0.0921      0.0063
RX_J1130.0+3637                     6945          NF      0.0600      0.0007      0.0001      0.0525      0.0099
RX_J1206.6+2811                     6939           F      0.0282      0.0024      0.0001      0.0375      0.0024
RX_J1320.2+3308                     6941           F      0.0366      0.0821      0.0001      2.2141      0.0036
RX_J1852.1+5711                     5749          OA      0.1094      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0068                          3250          OA      0.2546      0.0000     -0.0010     -0.0000     -0.0000
ABELL_0521                           430          OA      0.2533      0.0000     -0.0010     -0.0000     -0.0000
ABELL_1361                          2200           F      0.1171      0.4233      0.0001    131.1672      0.0434
ABELL_2124                          3238          NF      0.0658      0.0007      0.0001      0.0637      0.0117
ABELL_2554                          1696          OA      0.1103      0.0000     -0.0010     -0.0000     -0.0000
AC_114                              1562          OA      0.3120      0.0000     -0.0010     -0.0000     -0.0000
MS_0440.5+0204                      4196          OA      0.1900      0.0000     -0.0010     -0.0000     -0.0000
MS_1054.5-0321                       512           F      0.8300      0.0122      0.0002    359.8532      4.6052
MS_1621.5+2640                       546           F      0.4260      0.0089      0.0001     51.5442      0.7868
RX_J0439+0520                        527          OA      0.2080      0.0000     -0.0010     -0.0000     -0.0000
RX_J0819.6+6336                     2199           F      0.1190      0.0300      0.0001      9.6342      0.0478
ZWCL_1358+6245                       516           F      0.3280      0.0026      0.0004      8.1402      1.2974
ZWCL_5247                            539          NF      0.2290      0.0007      0.0001      0.9548      0.1814
ABELL_3084                          9413          OA      0.0977      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3088                          9414          OA      0.2534      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3528S                         8268          OA      0.0530      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3822                          8269          OA      0.0759      0.0000     -0.0010     -0.0000     -0.0000
ABELL_S0405                         8272          OA      0.0613      0.0000     -0.0010     -0.0000     -0.0000
ABELL_1995                          7021          NF      0.3186      0.0007      0.0002      2.0399      0.4459
ABELL_2147                          3211           F      0.0356      0.0042      0.0002      0.1065      0.0042
ABELL_2589                          3210          OA      0.0415      0.0000     -0.0010     -0.0000     -0.0000
ABELL_S0592                         9420          OA      0.2216      0.0000     -0.0010     -0.0000     -0.0000
