#Cluster                   Obsid     IDOF_K0   ICHISQ_K0    IPVAL_K0   IDOF_PLAW ICHISQ_PLAW  IPVAL_PLAW     FDOF_K0   FCHISQ_K0    FPVAL_K0   FDOF_PLAW FCHISQ_PLAW  FPVAL_PLAW
MACS_J0417.5-1154           3270           8       0.879  9.9890E-01           9       2.509  9.8064E-01           8       1.158  9.9704E-01           9       7.224  6.1383E-01
MACS_J0429.6-0253           3271          12       2.462  9.9830E-01          13      10.524  6.5065E-01          12       2.523  9.9808E-01          13      13.222  4.3081E-01
MACS_J0520.7-1328           3272          18       0.751  1.0000E+00          19       8.627  9.7918E-01          18       0.751  1.0000E+00          19       8.627  9.7918E-01
MACS_J0547.0-3904           3273          21       7.761  9.9608E-01          22      23.846  3.5535E-01          21       7.655  9.9644E-01          22      25.010  2.9661E-01
MACS_J1115.8+0129           3275          17       5.118  9.9742E-01          18      13.049  7.8865E-01          17       5.503  9.9595E-01          18      24.022  1.5429E-01
MACS_J1131.8-1955           3276          20       0.395  1.0000E+00          21       6.221  9.9924E-01          20       0.690  1.0000E+00          21       9.813  9.8124E-01
MACS_J1206.2-0847           3277          27       1.376  1.0000E+00          28      25.358  6.0829E-01          27       1.870  1.0000E+00          28      30.001  3.6319E-01
MACS_J1931.8-2634           3282          13       4.580  9.8332E-01          14      10.524  7.2299E-01          13       5.798  9.5321E-01          14      17.889  2.1186E-01
MACS_J2049.9-3217           3283          18       0.873  1.0000E+00          19       3.687  9.9994E-01          18       0.873  1.0000E+00          19       3.687  9.9994E-01
MACS_J2211.7-0349           3284          26       0.889  1.0000E+00          27      20.577  8.0568E-01          26       0.889  1.0000E+00          27      20.577  8.0568E-01
MACS_J2228+2036             3285          19       0.598  1.0000E+00          20       4.667  9.9984E-01          19       0.598  1.0000E+00          20       4.667  9.9984E-01
MACS_J2229.7-2755           3286          14      12.451  5.7015E-01          15      30.083  1.1625E-02          14      13.607  4.7937E-01          15      39.959  4.6006E-04
MACS_J2245.0+2637           3287          20       0.545  1.0000E+00          21      23.130  3.3710E-01          20       0.532  1.0000E+00          21      25.902  2.1019E-01
MKW3S                        900          43      26.230  9.7948E-01          44     121.792  3.1587E-09          43      27.653  9.6656E-01          44     159.124  6.0765E-15
MKW_04                      3234          13      17.010  1.9884E-01          14     233.256  8.2302E-42          13      19.054  1.2145E-01          14     305.777  7.3711E-57
MKW_08                      4942          16       0.439  1.0000E+00          17       4.858  9.9814E-01          16       0.439  1.0000E+00          17       4.858  9.9814E-01
MS_0016.9+1609               520          13       3.167  9.9726E-01          14      15.628  3.3665E-01          13       3.170  9.9725E-01          14      15.737  3.2969E-01
MS_0116.3-0115              4963          19       2.506  1.0000E+00          20       3.017  1.0000E+00          19       2.531  1.0000E+00          20       2.963  1.0000E+00
