#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
ABELL_2667                                         2214    flat    0.00    0.20    11        0.34974        0.06747        3.65121        0.24161        1.45420        0.13778        0.32602    7.60127E-01
ABELL_2717                                         6974    flat    0.00    0.12    26        1.01496        0.29193       14.61809        1.14212        1.12241        0.12289        0.09345    1.00000E+00
ABELL_2744                          7915_8477_8557_2212    flat    0.00    0.60    27       17.94522        2.42872        1.68128        1.27028        1.89025        0.45893        0.41248    9.80187E-01
ABELL_2813                                         9409    flat    0.00    0.30    14       12.51722        2.15614        5.17636        3.91980        1.90314        0.86038        0.33777    8.81843E-01
ABELL_3084                                         9413    flat    0.00    0.30    34        4.24098        0.60474       19.84767        1.77248        1.29677        0.16435        0.23384    9.99973E-01
ABELL_3088                                         9414    flat    0.00    0.20    10        2.49607        0.32368       12.19220        1.59278        1.69230        0.23866        0.07898    9.68154E-01
ABELL_3112                                         2516    flat    0.00    0.12    18        0.26673        0.02869        8.51161        0.39362        1.52476        0.06165        0.18533    9.96908E-01
ABELL_3120                                         6951    flat    0.00    0.20    29        0.54748        0.08570       22.72179        1.63822        1.43963        0.07800        0.37604    9.92573E-01
ABELL_3266                                          899    flat    0.00    0.08    15        0.86858        1.70719       19.10393        1.94140        0.62316        0.20592        0.03707    9.99982E-01
ABELL_3391                                         4943    flat    0.00    0.40    75       16.60718        1.13284        5.85379        1.29670        1.44254        0.17480        0.02142    1.00000E+00
ABELL_3395                                         4944    flat    0.00    0.12    24       15.17214        1.97793       10.91199        2.54508        1.94402        0.97071        0.00056    1.00000E+00
ABELL_3528S                                        8268    flat    0.00    0.12    24        0.70917        0.05726       18.05862        0.76570        1.40156        0.05052        1.85713    2.84982E-03
ABELL_3558                                         1646    flat    0.00    0.12    25        4.05746        0.86213        8.65963        1.05456        1.51124        0.42585        0.27315    9.97906E-01
ABELL_3562                                         4167    flat    0.00    0.12    26        2.67875        0.28304       12.19883        0.60502        0.98206        0.09402        2.62845    6.07967E-06
ABELL_3571                                         4203    flat    0.00    0.05    15        1.68592        0.18529        7.45787        0.79674        0.93378        0.14324        1.13000    1.38859E-01
ABELL_3581                                         1650    flat    0.00    0.10    46        0.33179        0.03492       12.17963        0.68335        1.55534        0.06213        0.49925    9.92739E-01
ABELL_3822                                         8269    flat    0.00    0.30    42        4.89018        3.56809       13.91729        4.93135        0.88186        0.35146        0.10048    1.00000E+00
ABELL_3921                                         4973    flat    0.00    0.40    47        3.54294        0.74797       10.17606        1.13202        1.09273        0.10102        0.16978    1.00000E+00
ABELL_4038                                         4992    flat    0.00    0.12    42        1.37270        0.03977        9.04959        0.23138        1.38375        0.04191        1.63767    2.86043E-03
ABELL_4059                                         5785    flat    0.00    0.15    33        0.30033        0.03073       11.52892        0.15778        1.15190        0.02278        1.08642    2.10843E-01
