#---                                  keV        keV        keV                            ---
#Name                                  Tx         lo         hi                      reference
RX_J1539.5-8335                    -99.00     -99.00     -99.00                             NA
RX_J1720.1+2638                      5.45       0.27       0.27            2001PhDT........88H
RX_J1720.2+3536                    -99.00     -99.00     -99.00                             NA
RX_J1852.1+5711                    -99.00     -99.00     -99.00                             NA
RX_J2129.6+0005                      6.10       0.24       0.24            2001PhDT........88H
SC_1327-312                          3.62       0.08       0.08            2000MNRAS.312..663W
SERSIC_159-03                      -99.00     -99.00     -99.00                             NA
SS2B153                            -99.00     -99.00     -99.00                             NA
UGC_03957                          -99.00     -99.00     -99.00                             NA
UGC_12491                          -99.00     -99.00     -99.00                             NA
ZWCL_1215                          -99.00     -99.00     -99.00                             NA
ZWCL_1358+6245                     -99.00     -99.00     -99.00                             NA
ZWCL_1742                          -99.00     -99.00     -99.00                             NA
ZWCL_1953                          -99.00     -99.00     -99.00                             NA
ZWCL_3146                          -99.00     -99.00     -99.00                             NA
ZWCL_7160                          -99.00     -99.00     -99.00                             NA
ZWICKY_2701                        -99.00     -99.00     -99.00                             NA
ZwCl_0857.9+2107                   -99.00     -99.00     -99.00                             NA
